date,type,category,description,amount
2022-03-09,expense,Rent / Office Space,Printing & postage,11335.88
2020-08-27,revenue,Other Revenue,License renewal,"$3,361.96"
2023-10-28,debit,Salaries & Wages,Accounting services,3358.45
2026-02-24,revenue,Wholesale Revenue,Service contract payment,24390.39
2022-10-25,REVENUE,Consulting / Retainers,Referral commission,3883.35
2021-06-03,revenue,Service Revenue,Annual subscription,13313.0
2020-05-01,revenue,Wholesale Revenue,Consulting engagement,14986.27
2023-06-08,Rev,Service Revenue,Q1 client invoice,6306.59
2023-06-28,expense,Cost of Goods Sold (COGS),AWS hosting bill,(13015.09)
2021-07-04,revenue,,Monthly subscription charge,714.54
2023-01-19,revenue,Online / Digital Sales,Wholesale shipment,(5807.67)
2020-10-15,expense,Professional Services (Legal/Accounting),Insurance premium,13842.49
2025-04-10,revenue,Product Sales,Annual subscription,13598.54
2022-02-10,revenue,Service Revenue,Wholesale shipment,5046.12
2023-12-05,EXPENSE,Other Expense,Conference registration,10703.27
"Mar 20, 2024",revenue,Wholesale Revenue,Online store order,6213.29
2020-02-21,revenue,Affiliate / Referral Revenue,Enterprise agreement,16006.37
2024-05-09,REVENUE,Online / Digital Sales,Annual subscription,15835.25
2020-08-29,expense,Cost of Goods Sold (COGS),Travel & lodging,4862.27
2025-01-18,expense,Rent / Office Space,Google Ads campaign,834.2
2023-06-06,revenue,Online / Digital Sales,Product bundle sale,"$17,509.87"
2023-06-06,revenue,Online / Digital Sales,Product bundle sale,"$17,509.87"
2024-03-08,revenue,Other Revenue,Annual subscription,7894.19
2023-01-02,Revenue,Online / Digital Sales,License renewal,7627.62
2021-12-23,revenue,Affiliate / Referral Revenue,Retainer fee,20599.69
2024-12-07,expense,Other Expense,Insurance premium,2446.1
2022-09-06,revenue,Subscription Income,Digital download sale,TBD
2024-11-15,revenue,Service Revenue,Enterprise agreement,20513.49
2022-11-12,expense,Rent / Office Space,Legal retainer fee,(2933.45)
2023-01-04,expense,Marketing & Advertising,Office supplies,2283.22
2022-03-07,revenue,rent,Consulting engagement,14364.51
2024-10-27,revenue,Service Revenue,Affiliate payout received,18322.12
2024-12-12,expense,Software & Subscriptions,Legal retainer fee,5371.25
2027-04-14,revenue,Other Revenue,Referral commission,16360.53
2024/01/18,revenue,Consulting / Retainers,Service contract payment,22336.71
2022-08-23,expense,Professional Services (Legal/Accounting),Contractor payment,10078.07
2021-05-08,revenue,Online / Digital Sales,Affiliate payout received,22766.97
2024-05-02,revenue,Service Revenue,Project milestone payment,-17784.19
2021-04-19,expense,Cost of Goods Sold (COGS),Contractor payment,(6220.02)
2020-11-10,expense,Salaries & Wages,  Office supplies  ,11706.23
2023-12-24,revenue,Service Revenue,Service contract payment,TBD
2022-08-14,revenue,Other Revenue,Wholesale shipment,15572.52
2022-01-16,expense,Salaries & Wages,Printing & postage,
2023-07-02,expense,Rent / Office Space,Office supplies,-4829.1
2021-12-17,revenue,Subscription Income,Annual subscription,6378.8
2022-09-14,revenue,Wholesale Revenue,Digital download sale,18949.88
2020-03-18,Costs,Affiliate / Referral Revenue,Wholesale shipment,23706.77
2026-09-21,revenue,Online / Digital Sales,Annual subscription,13646.77
12/29/2022,expense,Other Expense,Conference registration,5801.32
2024-03-08,revenue,Other Revenue,Service contract payment,22545.41
2027-01-16,expense,Salaries & Wages,Software license renewal,3480.93
2025-04-04,expense,Salaries & Wages,Office rent payment,1722.02
2023-01-12,revenue,Subscription Income,Annual subscription,15266.59
2025-05-02,revenue,Subscription Income,Monthly subscription charge,"$4,547.71"
2020-12-04,expense,Professional Services (Legal/Accounting),Google Ads campaign,7468.16
2021-03-12,revenue,,Wholesale shipment,5017.84
2024-10-21,revenue,,Product bundle sale,5867.36
2022-08-30,revenue,Consulting / Retainers,Referral commission,18739.51
2020-03-30,expense,Salaries & Wages,Insurance premium,4320.44
2027-04-24,expense,Marketing & Advertising,Monthly payroll,12639.9
2020-10-14,expense,Rent / Office Space,Utilities bill,13574.35
2020-12-21,revenue,Service Revenue,Monthly subscription charge,"$6,682.49"
07/21/2025,revenue,Online / Digital Sales,Annual subscription,13233.47
2022-03-04,expense,Marketing & Advertising,Conference registration,"$14,227.48"
2024-02-02,revenue,Other Revenue,Retainer fee,(8906.09)
2021-07-11,EXPENSE,Software & Subscriptions,Software license renewal,12548.79
2023-11-19,revenue,Consulting / Retainers,License renewal,23898.56
2024-01-26,expense,Cost of Goods Sold (COGS),Accounting services,5584.4
2023-06-24,revenue,Online / Digital Sales,Consulting engagement,-6579.26
2023-10-15,expense,marketing,Utilities bill,4266.01
2022-04-07,expense,Cost of Goods Sold (COGS),Legal retainer fee,"$10,602.39"
2023-11-09,revenue,Consulting / Retainers,,17380.8
2021-02-21,Rev,Consulting / Retainers,Annual subscription,8258.09
2020-09-14,revenue,Product Sales,Wholesale shipment,$308.75
2024-02-07,expense,Professional Services (Legal/Accounting),,13908.08
2020-10-10,revenue,Affiliate / Referral Revenue,Annual subscription,18436.54
2025-01-05,revenue,Online / Digital Sales,Service contract payment,12587.39
2021-11-20,Revenue,Online / Digital Sales,Project milestone payment,10207.69
2025-07-17,revenue,,Project milestone payment,7591.87
2020-10-15,revenue,Product Sales,Wholesale shipment,15447.29
2025-10-16,expense,Marketing & Advertising,AWS hosting bill,(9273.84)
2020-03-21,revenue,Product Sales,Digital download sale,"$10,824.54"
2022-02-16,expense,Salaries & Wages,Accounting services,3562.84
2026-07-12,expense,Software & Subscriptions,Utilities bill,2432.78
2021-05-28,Revenue,Affiliate / Referral Revenue,Enterprise agreement,13071.19
2024-02-27,expense,Professional Services (Legal/Accounting),AWS hosting bill,7129.08
2024-11-08,expense,Professional Services (Legal/Accounting),AWS hosting bill,12914.07
2015-11-02,revenue,Consulting / Retainers,Digital download sale,12740.64
2022-03-04,credit,Salaries & Wages,Software license renewal,11243.18
2024-01-17,revenue,Other Revenue,Referral commission,"$12,550.71"
2025-09-10,expense,Marketing & Advertising,Monthly payroll,9600.73
2023-04-09,revenue,Subscription Income,Service contract payment,13388.27
2020-07-30,expense,Marketing & Advertising,  Software license renewal  ,11307.76
2024-05-15,revenue,Other Revenue,Project milestone payment,-3747.48
2024-02-10,EXPENSE,Other Expense,Equipment purchase,6423.33
2023-11-07,expense,Salaries & Wages,Software license renewal,7337.31
2025-02-13,Revenue,Other Revenue,Monthly subscription charge,9720.18
2021-07-19,expense,Marketing & Advertising,Insurance premium,2470.53
2021-06-21,Revenue,Service Revenue,License renewal,2535.46
2021-06-09,EXPENSE,Rent / Office Space,Office rent payment,11815.1
2025-10-12,expense,COGS,Equipment purchase,2203.86
2025-05-19,expense,Software & Subscriptions,Office rent payment,7996.92
2025-10-29,revenue,Product Sales,,15608.55
2020-08-27,revenue,Other Revenue,License renewal,-21943.04
2021-09-24,revenue,Affiliate / Referral Revenue,Enterprise agreement,4712.57
2016-05-25,revenue,Other Revenue,Project milestone payment,7634.48
2024-02-07,revenue,Affiliate / Referral Revenue,Q1 client invoice,9148.25
2027-07-10,revenue,Consulting / Retainers,Enterprise agreement,5529.74
2023-11-04,expense,Other Expense,Contractor payment,8763.39
2023-07-22,revenue,Other Revenue,Digital download sale,1202.89
2023-09-08,revenue,Wholesale Revenue,Online store order,7466.33
2023-09-08,revenue,Wholesale Revenue,Online store order,7466.33
2024-08-27,expense,Cost of Goods Sold (COGS),Software license renewal,2904.66
2027-11-25,expense,Cost of Goods Sold (COGS),Office supplies,1153.03
2023-03-05,expense,Subscription,Printing & postage,3014.88
2024-01-17,other,Marketing & Advertising,Office rent payment,11499.47
2021-02-26,revenue,Subscription Income,Q1 client invoice,10442.07
2021-02-12,expense,Other Expense,Software license renewal,-1664.29
2021-06-28,expense,Marketing & Advertising,,2990.11
2023-07-04,revenue,Consulting / Retainers,Referral commission,N/A
2025-08-06,Costs,Consulting / Retainers,Annual subscription,21980.06
2025-01-31,expense,Other Expense,Accounting services,-2290.84
2024-03-27,revenue,Affiliate / Referral Revenue,,24386.9
2024-06-14,revenue,Product Sales,License renewal,-17118.42
2024-02-16,revenue,Affiliate / Referral Revenue,Project milestone payment,23946.01
2021-12-29,expense,Rent / Office Space,Equipment purchase,13317.73
2025-01-30,revenue,Affiliate / Referral Revenue,  Project milestone payment  ,21008.76
2020-12-18,revenue,Subscription Income,Referral commission,24408.58
2018-09-11,expense,Other Expense,Google Ads campaign,3401.2
2023-03-28,expense,Cost of Goods Sold (COGS),Contractor payment,12460.16
2024-01-21,expense,Professional Services (Legal/Accounting),AWS hosting bill,2942.31
2025-08-11,revenue,Affiliate / Referral Revenue,Wholesale shipment,20582.63
2025-02-26,revenue,Consulting / Retainers,Project milestone payment,5246.77
2025-10-21,debit,Cost of Goods Sold (COGS),Insurance premium,11678.78
2020-08-03,revenue,Product Sales,Affiliate payout received,17874.69
2025-05-20,expense,Rent / Office Space,AWS hosting bill,
2023-05-17,expense,Cost of Goods Sold (COGS),Software license renewal,6004.24
2022-03-09,revenue,Wholesale Revenue,Wholesale shipment,N/A
2023-05-01,revenue,Affiliate / Referral Revenue,Wholesale shipment,7094.06
2025-04-22,revenue,Wholesale Revenue,Monthly subscription charge,9114.36
2023-08-08,expense,Marketing & Advertising,Monthly payroll,4622.31
2023-09-01,expense,Software & Subscriptions,,11941.06
2020-07-23,revenue,Subscription Income,Referral commission,"$24,870.37"
2021-11-25,revenue,Wages,Digital download sale,3792.45
2021-05-12,revenue,Affiliate / Referral Revenue,Annual subscription,19120.91
2020-08-31,expense,Other Expense,Travel & lodging,327.53
2023/08/21,revenue,Consulting / Retainers,Referral commission,11676.53
2021-11-26,revenue,Service Revenue,Monthly subscription charge,1865.85
2021-03-08,revenue,Wholesale Revenue,Digital download sale,19948.86
2025-05-16,expense,Professional Services (Legal/Accounting),Equipment purchase,14624.81
2020-10-10,revenue,Service Revenue,Annual subscription,5661.29
2020-05-08,expense,Other Expense,Conference registration,9843.53
2018-08-23,expense,Software & Subscriptions,Contractor payment,14677.13
2022-09-11,expense,,Office rent payment,11783.66
2023-07-25,expense,Rent / Office Space,Insurance premium,8691.65
2021-09-01,revenue,Consulting / Retainers,Wholesale shipment,21069.15
2020-07-30,expense,Cost of Goods Sold (COGS),Office rent payment,6475.92
2020-06-27,expense,Cost of Goods Sold (COGS),Contractor payment,-6373.7
2021-10-29,revenue,Wholesale Revenue,Affiliate payout received,13667.56
2023-03-30,expense,Professional Services (Legal/Accounting),Travel & lodging,9441.83
2020-11-02,expense,Salaries & Wages,Office rent payment,4299.26
2017-07-29,expense,Professional Services (Legal/Accounting),Travel & lodging,4165.53
2022-08-13,revenue,Consulting / Retainers,Digital download sale,N/A
2022-08-21,revenue,Online / Digital Sales,Product bundle sale,21311.27
2024/04/23,expense,Software & Subscriptions,Insurance premium,3210.28
2022-02-04,expense,Marketing & Advertising,Office supplies,TBD
2022-02-18,expense,Marketing & Advertising,Office rent payment,6123.05
2021-09-25,revenue,Other Revenue,Consulting engagement,TBD
11/24/2025,expense,Rent / Office Space,Equipment purchase,13028.21
2020-02-20,revenue,Consulting / Retainers,Service contract payment,
2022-11-24,revenue,Product Sales,Digital download sale,13597.07
2020-05-07,expense,Marketing & Advertising,,8570.72
2022-03-18,expense,Professional Services (Legal/Accounting),Office supplies,1763.62
2022-03-31,expense,Marketing & Advertising,Travel & lodging,4835.89
2021-02-13,expense,Salaries & Wages,Contractor payment,11911.69
2022-06-05,revenue,Subscription Income,Q1 client invoice,16589.44
2023-05-25,revenue,Service Revenue,Affiliate payout received,21395.57
2022-01-31,revenue,Service Revenue,Referral commission,6271.25
2020-01-01,expense,Salaries & Wages,Equipment purchase,14496.72
2020-08-07,revenue,Product Sales,Affiliate payout received,TBD
2025-04-26,revenue,Other Revenue,Referral commission,2486.82
2024-06-02,expense,Professional Services (Legal/Accounting),Office rent payment,(5877.20)
2023-12-29,REVENUE,Service Revenue,Retainer fee,18243.75
2022-11-05,revenue,Product Sales,Q1 client invoice,115.86
2022-12-06,revenue,Online / Digital Sales,License renewal,6990.52
2021-10-31,expense,Wages,Office supplies,14919.41
2024-10-18,REVENUE,Subscription Income,Project milestone payment,10019.68
2023-02-03,revenue,Affiliate / Referral Revenue,Project milestone payment,10510.69
2023-11-06,expense,Salaries & Wages,Office supplies,"$7,657.29"
2020-03-03,revenue,Affiliate / Referral Revenue,Affiliate payout received,791.31
2021-09-14,expense,Other Expense,Software license renewal,(7552.02)
2021-06-26,expense,Marketing & Advertising,Accounting services,
2024-04-23,expense,Cost of Goods Sold (COGS),Google Ads campaign,10292.54
08/17/2025,expense,Professional Services (Legal/Accounting),Contractor payment,10106.36
2022-07-23,revenue,Consulting / Retainers,Digital download sale,"$21,676.28"
2022-12-18,revenue,Subscription Income,Digital download sale,13901.2
2023-12-28,expense,Software & Subscriptions,AWS hosting bill,
2024/05/24,revenue,Subscription Income,Monthly subscription charge,19464.69
2023-09-19,REVENUE,Affiliate / Referral Revenue,Online store order,19630.8
2025-04-15,revenue,Wholesale Revenue,License renewal,8386.28
2021-06-25,revenue,Service Revenue,Annual subscription,N/A
2021-12-14,REVENUE,Affiliate / Referral Revenue,Service contract payment,3107.61
2024-07-13,revenue,Affiliate / Referral Revenue,Retainer fee,22705.76
2021-02-21,revenue,rent,Monthly subscription charge,16066.0
2024-04-25,expense,Salaries & Wages,Contractor payment,-5825.09
2025-09-03,EXPENSE,Software & Subscriptions,Travel & lodging,2152.98
16/03/2022,revenue,Affiliate / Referral Revenue,Product bundle sale,15396.07
2023-11-14,revenue,Wholesale Revenue,Affiliate payout received,7459.53
2020-03-13,expense,Cost of Goods Sold (COGS),,2258.33
2022-05-20,expense,Professional Services (Legal/Accounting),Monthly payroll,7059.09
2022-11-12,revenue,Other Revenue,Affiliate payout received,-24496.33
2024-07-18,expense,Professional Services (Legal/Accounting),Google Ads campaign,13696.64
13/05/2021,expense,Rent / Office Space,AWS hosting bill,3667.46
2022-06-04,expense,Marketing & Advertising,Google Ads campaign,N/A
2023-05-08,revenue,Subscription Income,Digital download sale,10271.65
2020-06-21,expense,Other Expense,Insurance premium,
2023-06-12,expense,Marketing & Advertising,Legal retainer fee,59.26
05/03/2022,expense,Marketing & Advertising,Conference registration,4988.0
2020-02-27,revenue,Other Revenue,Monthly subscription charge,878.11
2021-10-21,expense,Professional Services (Legal/Accounting),Accounting services,13491.85
2023-06-08,revenue,,Wholesale shipment,8872.86
2025-07-16,revenue,Affiliate / Referral Revenue,License renewal,(5755.96)
2024-11-07,revenue,Product Sales,Affiliate payout received,23036.31
2024-11-07,revenue,Product Sales,Affiliate payout received,23036.31
2025-07-30,expense,Salaries & Wages,Monthly payroll,11865.74
2020-04-12,revenue,Other Revenue,Q1 client invoice,9383.79
2021-03-12,revenue,Online / Digital Sales,Affiliate payout received,19537.87
2025-01-25,Costs,Software & Subscriptions,Travel & lodging,1927.57
2020-06-18,expense,Salaries & Wages,Monthly payroll,4468.55
2024-02-01,revenue,rent,License renewal,4574.55
2024-03-29,revenue,salaries,Service contract payment,11231.18
2024-05-29,expense,Cost of Goods Sold (COGS),Utilities bill,5541.55
"Oct 23, 2024",revenue,Affiliate / Referral Revenue,Annual subscription,15476.57
2024-08-10,revenue,,Retainer fee,13327.72
2024-05-27,expense,Professional Services (Legal/Accounting),Equipment purchase,(5592.47)
2023-01-18,revenue,Product Sales,Q1 client invoice,20936.78
2021-09-10,expense,Other Expense,AWS hosting bill,-11344.78
2020-11-27,revenue,Consulting / Retainers,Product bundle sale,10959.43
2022-04-15,revenue,Other Revenue,Affiliate payout received,
2023-10-24,EXPENSE,Salaries & Wages,Equipment purchase,9692.32
2024-01-06,revenue,Consulting / Retainers,Monthly subscription charge,20215.16
2025-03-07,expense,Professional Services (Legal/Accounting),Equipment purchase,12242.78
2024-06-16,expense,Cost of Goods Sold (COGS),Office rent payment,N/A
2024-03-08,revenue,Service Revenue,Online store order,-16549.14
2024-03-31,EXPENSE,Cost of Goods Sold (COGS),Travel & lodging,1336.23
2022-12-10,other,Other Expense,Insurance premium,4716.53
2025-06-29,expense,Marketing & Advertising,Software license renewal,N/A
2022-06-26,expense,Software & Subscriptions,Travel & lodging,2367.59
2024-11-04,expense,Professional Services (Legal/Accounting),Monthly payroll,7304.08
2021-03-15,revenue,Affiliate / Referral Revenue,Referral commission,TBD
2025-02-08,other,Rent / Office Space,Contractor payment,5253.15
2023-01-07,revenue,Service Revenue,Enterprise agreement,"$6,576.42"
2022-01-02,revenue,Product Sales,Service contract payment,3304.7
2022-10-17,expense,Rent / Office Space,Travel & lodging,N/A
2024-09-21,revenue,Other Revenue,Wholesale shipment,15693.17
2024-09-21,revenue,Other Revenue,Wholesale shipment,15693.17
2025-10-24,expense,Marketing & Advertising,Insurance premium,11475.52
2021-05-18,expense,Salaries & Wages,Equipment purchase,"$6,807.48"
2022-03-29,revenue,Service,Affiliate payout received,9805.47
2024-04-20,revenue,Affiliate / Referral Revenue,Enterprise agreement,
2021-10-22,expense,Marketing & Advertising,Office supplies,6232.28
2020-10-06,revenue,Service Revenue,Annual subscription,966.49
2026-05-05,expense,Cost of Goods Sold (COGS),AWS hosting bill,2517.77
2021-07-27,expense,Professional Services (Legal/Accounting),Utilities bill,12087.05
2021-08-31,revenue,Online / Digital Sales,Referral commission,14318.31
2021-05-01,revenue,Product Sales,Referral commission,21356.51
2024-07-16,revenue,Affiliate / Referral Revenue,Digital download sale,
2023-05-05,revenue,Subscription Income,Retainer fee,(20907.30)
2024-08-25,EXPENSE,Professional Services (Legal/Accounting),AWS hosting bill,10331.56
2020-08-13,EXPENSE,Cost of Goods Sold (COGS),Contractor payment,5428.35
2020-05-12,expense,Salaries & Wages,Monthly payroll,13977.29
2022-04-24,revenue,COGS,Annual subscription,1572.14
2020-10-26,revenue,Wholesale Revenue,Product bundle sale,6813.96
2024-04-15,revenue,Product Sales,Enterprise agreement,10887.41
2024-01-11,Rev,Software & Subscriptions,Conference registration,9249.86
2023-10-03,revenue,Online / Digital Sales,,10553.43
2024-01-15,expense,Professional Services (Legal/Accounting),Conference registration,7450.57
2024-01-15,expense,Professional Services (Legal/Accounting),Conference registration,7450.57
2021-01-30,expense,Marketing & Advertising,Monthly payroll,657.86
2024-08-06,revenue,Affiliate / Referral Revenue,Referral commission,10923.57
2024-12-07,expense,Professional Services (Legal/Accounting),Equipment purchase,"$11,150.57"
2024-06-02,expense,Marketing & Advertising,Google Ads campaign,
2022-05-24,revenue,rent,Affiliate payout received,10378.38
2021-08-26,EXPENSE,Wholesale Revenue,Project milestone payment,4769.73
2024-11-22,expense,Marketing & Advertising,AWS hosting bill,1233.68
2024-01-05,revenue,Other Revenue,Service contract payment,18061.83
2020-06-01,revenue,Online / Digital Sales,Monthly subscription charge,7765.1
2024-11-16,revenue,Service Revenue,Enterprise agreement,6000.47
2020-11-24,debit,Affiliate / Referral Revenue,Q1 client invoice,8511.64
2020-04-23,revenue,Subscription Income,Enterprise agreement,20350.81
2020-10-29,revenue,Online / Digital Sales,Monthly subscription charge,17003.77
2023-04-10,revenue,Wholesale Revenue,Project milestone payment,8247.94
2025-10-22,credit,Salaries & Wages,Google Ads campaign,2051.85
2020-10-02,revenue,Service Revenue,Project milestone payment,20303.7
2021-06-21,revenue,Wholesale Revenue,Product bundle sale,-4840.83
2020-04-16,revenue,Wholesale Revenue,Service contract payment,22431.64
2023-04-14,expense,Rent / Office Space,Equipment purchase,10148.43
2021-02-14,Revenue,Wholesale Revenue,Q1 client invoice,20613.42
2021/10/13,revenue,Wholesale Revenue,Wholesale shipment,6990.3
2024-05-23,expense,Salaries & Wages,Equipment purchase,6404.7
2021-07-16,revenue,Subscription Income,  Service contract payment  ,15815.98
2024-07-25,revenue,,Q1 client invoice,8770.44
2023-01-17,revenue,Subscription Income,Consulting engagement,23676.8
2022-05-16,expense,Marketing & Advertising,Accounting services,3774.4
2021-12-10,expense,Professional Services (Legal/Accounting),Monthly payroll,TBD
16/04/2020,revenue,Wholesale Revenue,Digital download sale,4306.54
2021-03-28,REVENUE,Consulting / Retainers,Enterprise agreement,11786.47
2024-08-01,expense,Software & Subscriptions,Office supplies,7547.75
2020-09-29,revenue,Service Revenue,License renewal,16228.68
2020-02-12,Revenue,Software & Subscriptions,Contractor payment,9232.42
2023-07-01,revenue,Subscription Income,Affiliate payout received,12092.41
2024-08-10,revenue,Subscription Income,Annual subscription,"$10,762.39"
2020-02-22,revenue,Consulting / Retainers,,23362.13
2023-12-29,revenue,product sales,Service contract payment,16303.91
2025-10-05,Exp,Salaries & Wages,Google Ads campaign,9370.31
2025-10-28,revenue,Online / Digital Sales,Monthly subscription charge,13588.88
2022-09-01,EXPENSE,Rent / Office Space,Equipment purchase,14305.88
2024-03-25,Income,Consulting / Retainers,Monthly subscription charge,2152.66
2021-03-24,expense,Rent / Office Space,Conference registration,"$8,086.31"
2023-05-29,revenue,Online / Digital Sales,Service contract payment,14434.31
2020-04-07,EXPENSE,Cost of Goods Sold (COGS),Contractor payment,14975.57
2021-04-06,expense,Professional Services (Legal/Accounting),Monthly payroll,"$13,015.08"
2020-05-21,revenue,Product Sales,Wholesale shipment,22464.44
2025-04-11,expense,Cost of Goods Sold (COGS),Contractor payment,
2022-06-09,revenue,Consulting / Retainers,Digital download sale,8000.77
2024-10-03,revenue,Other Revenue,Project milestone payment,3622.43
2023-09-30,revenue,rent,Enterprise agreement,12579.8
2024-09-23,expense,Software & Subscriptions,Contractor payment,6677.9
2021-08-29,revenue,Consulting / Retainers,Annual subscription,11843.96
2021-04-25,Costs,Consulting / Retainers,Enterprise agreement,21274.53
2025-06-20,expense,Salaries & Wages,  Office rent payment  ,13348.07
2021-10-25,revenue,Consulting / Retainers,Annual subscription,24715.92
2021-08-01,debit,Software & Subscriptions,Monthly payroll,12432.38
2020-03-31,revenue,Service Revenue,License renewal,3188.48
2024-01-04,expense,Rent / Office Space,,11189.09
2021-06-19,expense,Rent / Office Space,Equipment purchase,14637.21
2021-05-27,revenue,Service Revenue,Service contract payment,"$3,589.89"
2025-08-15,expense,Other Expense,Utilities bill,4081.41
2024-03-14,revenue,Subscription Income,Online store order,3483.72
2024-05-30,expense,Marketing & Advertising,Office supplies,"$4,316.95"
2025-01-02,expense,,Conference registration,9178.85
2021-12-04,REVENUE,Affiliate / Referral Revenue,Project milestone payment,15961.97
2021-03-19,EXPENSE,Cost of Goods Sold (COGS),Utilities bill,1908.15
2023-01-04,revenue,Other Revenue,Project milestone payment,-24285.01
2020-04-08,expense,Marketing & Advertising,Accounting services,"$14,615.01"
2021-03-20,revenue,Service Revenue,Monthly subscription charge,(4536.51)
2023-04-01,expense,Salaries & Wages,Office rent payment,1981.54
2025-01-27,Rev,Online / Digital Sales,Wholesale shipment,10724.21
2023-09-19,expense,Rent / Office Space,Office supplies,477.77
2022-07-24,revenue,Consulting / Retainers,License renewal,16970.31
2025/10/12,expense,Software & Subscriptions,Monthly payroll,8923.05
2022-05-16,revenue,Service Revenue,Enterprise agreement,21864.31
2019-09-19,revenue,Subscription Income,License renewal,9235.22
2025-04-08,expense,Professional Services (Legal/Accounting),,10353.9
2023-09-30,revenue,,Annual subscription,23345.09
2024-07-05,revenue,Other Revenue,Enterprise agreement,542.07
2022-01-18,Costs,Cost of Goods Sold (COGS),Insurance premium,4170.95
2022-03-05,expense,Professional Services (Legal/Accounting),Software license renewal,5820.74
2022-04-13,revenue,Wholesale Revenue,  Enterprise agreement  ,5971.69
2024-11-25,EXPENSE,Marketing & Advertising,Insurance premium,8800.14
2023-01-10,expense,Other Expense,Utilities bill,7837.81
2021-02-19,expense,Professional Services (Legal/Accounting),Conference registration,9483.68
2021-12-13,revenue,Wholesale Revenue,Referral commission,8599.91
2023-03-29,expense,Professional Services (Legal/Accounting),Office rent payment,11412.32
2022-11-29,revenue,Wholesale Revenue,Wholesale shipment,15422.15
17/01/2025,expense,Cost of Goods Sold (COGS),Utilities bill,7949.79
2020-06-28,REVENUE,Other Revenue,Product bundle sale,15332.83
2025-12-10,expense,Rent / Office Space,Insurance premium,9600.8
2022-10-24,REVENUE,Product Sales,Product bundle sale,19905.79
2019-08-08,expense,Rent / Office Space,AWS hosting bill,563.13
2025-11-17,revenue,Subscription Income,Annual subscription,"$14,800.19"
2023-03-22,revenue,Product Sales,Affiliate payout received,9126.82
2022-05-05,revenue,Online / Digital Sales,Project milestone payment,18774.31
2023-11-11,revenue,Subscription Income,Wholesale shipment,7781.79
2023-09-28,REVENUE,Online / Digital Sales,Project milestone payment,13876.4
2025-03-16,expense,Professional Services (Legal/Accounting),Insurance premium,864.15
2020-11-11,revenue,Wholesale Revenue,Referral commission,22209.62
2020-01-30,revenue,Wholesale Revenue,License renewal,22599.82
2023-05-10,EXPENSE,Salaries & Wages,Printing & postage,10793.34
2022-10-18,revenue,Wholesale Revenue,Consulting engagement,"$7,665.34"
2022-01-19,expense,Salaries & Wages,Software license renewal,-10721.87
2020-10-10,expense,Cost of Goods Sold (COGS),AWS hosting bill,3841.79
2020-09-24,revenue,Subscription Income,Online store order,8837.92
2021-02-13,revenue,Service Revenue,Wholesale shipment,6343.0
2024-03-16,expense,Salaries & Wages,Conference registration,
2025-01-25,expense,Software & Subscriptions,Office supplies,8351.08
2022-09-17,revenue,Affiliate / Referral Revenue,Project milestone payment,24085.32
2021-02-23,revenue,Online / Digital Sales,Annual subscription,15002.24
2020-02-27,expense,Other Expense,Software license renewal,617.53
2024-11-16,expense,Professional Services (Legal/Accounting),AWS hosting bill,3089.58
2020-11-04,revenue,Online / Digital Sales,Online store order,3730.38
2023-09-03,revenue,Online / Digital Sales,Online store order,6527.91
2021-11-30,revenue,Subscription Income,Monthly subscription charge,23438.76
2021-11-30,revenue,Subscription Income,Monthly subscription charge,23438.76
2024-08-15,revenue,Affiliate / Referral Revenue,Monthly subscription charge,-13446.04
06/08/2021,expense,Other Expense,Software license renewal,1721.2
"Jan 11, 2025",revenue,Other Revenue,Consulting engagement,1824.87
2020-04-03,revenue,Product Sales,Consulting engagement,4529.13
2022-04-12,expense,Software & Subscriptions,Utilities bill,-13369.01
2018-08-18,expense,Software & Subscriptions,Office supplies,12907.85
2022-03-22,expense,Professional Services (Legal/Accounting),Equipment purchase,6153.94
2021-12-23,revenue,Subscription Income,License renewal,-20331.32
2022-09-17,revenue,Consulting / Retainers,Consulting engagement,9662.17
2024-11-28,revenue,Affiliate / Referral Revenue,Annual subscription,-7691.84
2021-04-19,expense,Software & Subscriptions,Office supplies,3818.4
2021-11-03,expense,Service,Accounting services,4937.38
2023-01-02,expense,Professional Services (Legal/Accounting),Software license renewal,$404.96
2022-04-08,REVENUE,Consulting / Retainers,Digital download sale,10574.92
2024-06-20,other,Subscription Income,Q1 client invoice,17736.75
2022-10-04,expense,Professional Services (Legal/Accounting),Contractor payment,11560.96
2020-06-21,expense,Other Expense,  Contractor payment  ,762.06
08/11/2022,expense,Cost of Goods Sold (COGS),Printing & postage,7891.68
29/11/2024,revenue,Subscription Income,Annual subscription,15582.91
2022-11-03,other,Salaries & Wages,Google Ads campaign,7481.32
2022-07-24,revenue,Service Revenue,Monthly subscription charge,15011.52
2023-01-23,revenue,Online / Digital Sales,Affiliate payout received,(11559.10)
07/20/2025,revenue,Online / Digital Sales,Annual subscription,1595.9
2025-11-06,revenue,,Service contract payment,5075.97
2023-07-04,revenue,Online / Digital Sales,Referral commission,5865.32
2020-04-19,EXPENSE,Professional Services (Legal/Accounting),Insurance premium,3072.06
2024-07-05,EXPENSE,Marketing & Advertising,Contractor payment,14272.72
2021-08-15,revenue,Wholesale Revenue,Online store order,5550.34
2024-07-27,expense,Software & Subscriptions,Utilities bill,7252.88
2023-03-12,expense,Salaries & Wages,Equipment purchase,2276.56
2022-01-20,EXPENSE,Subscription Income,Project milestone payment,20060.7
2023-07-25,expense,Salaries & Wages,Printing & postage,7973.45
